pupil,school,minority,sex,ses,mathach
p224,s1374,No,Female,0.842,16.759
p225,s1374,Yes,Male,0.072,18.948
p226,s1374,No,Female,0.332,10.593
p227,s1374,No,Male,-0.858,15.557
p228,s1374,No,Male,0.902,23.419
p229,s1374,Yes,Male,1.242,0.333
p230,s1374,No,Male,-0.738,-2.002
p231,s1374,No,Male,0.362,24.041
p232,s1374,Yes,Male,0.712,-2.657
p233,s1374,No,Female,0.452,7.603
p234,s1374,Yes,Male,-0.598,5.803
p235,s1374,Yes,Male,-1.028,3.931
p236,s1374,No,Male,-0.338,8.268
p237,s1374,No,Male,-0.948,1.344
p238,s1374,Yes,Male,0.292,16.449
p239,s1374,No,Female,-1.218,2.881
p240,s1374,No,Female,0.492,20.93
p241,s1374,No,Male,1.152,22.086
p242,s1374,No,Female,-0.758,7.653
p243,s1374,No,Female,-0.298,8.082
p244,s1374,No,Female,-0.478,5.503
p245,s1374,No,Female,0.192,9.004
p246,s1374,No,Male,-0.738,12.063
p247,s1433,No,Male,0.812,12.907
p248,s1433,No,Male,1.332,18.496
p249,s1433,No,Male,-0.338,20.323
p250,s1433,No,Male,1.082,22.682
p251,s1433,No,Male,0.542,14.198
p252,s1433,No,Male,0.382,24.044
p253,s1433,No,Male,0.592,19.571
p254,s1433,No,Male,0.852,22.183
p255,s1433,No,Male,-0.368,16.676
p256,s1433,No,Male,1.022,23.327
p257,s1433,No,Male,0.712,16.394
p258,s1433,No,Male,0.272,23.032
p259,s1433,No,Male,1.182,18.586
p260,s1433,No,Male,-0.588,15.246
p261,s1433,No,Male,1.282,20.731
p262,s1433,No,Male,0.942,20.447
p263,s1433,No,Male,1.512,23.572
p264,s1433,No,Male,0.222,17.571
p265,s1433,No,Male,0.992,24.993
p266,s1433,No,Male,1.362,24.421
p267,s1433,No,Male,0.482,11.478
p268,s1433,No,Male,1.292,24.812
p269,s1433,No,Male,1.072,22.093
p270,s1433,No,Male,0.562,18.716
p271,s1433,No,Male,-0.218,23.392
p272,s1433,No,Male,1.512,15.992
p273,s1433,No,Male,0.772,13.254
p274,s1433,No,Male,0.952,24.812
p275,s1433,No,Male,1.392,22.086
p276,s1433,Yes,Male,1.002,24.479
p277,s1433,No,Male,0.932,16.724
p278,s1433,No,Male,-0.458,20.628
p279,s1433,No,Male,-0.198,14.544
p280,s1433,No,Male,0.952,19.033
p281,s1433,No,Male,1.072,18.727
p282,s1436,No,Male,0.222,24.133
p283,s1436,No,Male,-0.078,18.77
p284,s1436,No,Male,1.512,21.803
p285,s1436,No,Male,0.212,9.561
p286,s1436,No,Female,0.792,15.132
p287,s1436,No,Female,1.342,22.387
p288,s1436,No,Male,0.242,22.578
p289,s1436,No,Male,-0.298,18.763
p290,s1436,No,Male,-1.038,18.301
p291,s1436,No,Male,0.682,15.879
p292,s1436,No,Male,0.802,20.424
p293,s1436,No,Male,0.952,23.072
p294,s1436,No,Female,1.002,13.12
p295,s1436,No,Male,1.142,18.844
p296,s1436,No,Female,0.482,17.495
p297,s1436,No,Female,1.512,15.615
p298,s1436,No,Female,0.242,11.001
p299,s1436,No,Female,1.222,17.103
p300,s1436,No,Female,-0.298,21.56
p301,s1436,No,Male,-0.338,19.419
p302,s1436,No,Female,1.042,18.471
p303,s1436,No,Male,0.672,22.868
p304,s1436,No,Male,0.732,14.138
p305,s1436,No,Male,0.822,23.271
p306,s1436,No,Male,0.362,13.472
p307,s1436,No,Male,-0.318,17.465
p308,s1436,No,Male,0.682,16.038
p309,s1436,No,Male,0.712,22.455
p310,s1436,No,Male,0.542,18.984
p311,s1436,No,Male,0.252,12.535
p312,s1436,No,Female,0.482,16.568
p313,s1436,No,Male,-0.028,22.592
p314,s1436,No,Male,0.252,16.886
p315,s1436,No,Male,0.702,22.985
p316,s1436,No,Female,0.212,6.798
p317,s1436,No,Female,0.342,5.51
p318,s1436,No,Male,1.342,24.479
p319,s1436,No,Female,1.512,18.827
p320,s1436,No,Female,1.212,20.268
p321,s1436,No,Male,1.122,24.993
p322,s1436,No,Male,0.272,15.06
p323,s1436,No,Female,0.782,20.818
p324,s1436,No,Male,-0.018,18.33
p325,s1436,No,Male,0.772,18.14
p326,s1461,No,Female,0.042,12.962
p327,s1461,No,Female,1.282,24.545
p328,s1461,No,Female,1.122,13.314
p329,s1461,No,Female,1.172,16.929
p330,s1461,No,Female,-1.108,3.796
p331,s1461,No,Female,0.822,14.581
p332,s1461,No,Female,0.482,18.719
p333,s1461,No,Female,0.902,12.595
p334,s1461,No,Female,1.022,17.326
p335,s1461,No,Female,0.602,15.918
p336,s1461,No,Male,1.272,23.088
p337,s1461,No,Male,1.352,18.259
p338,s1461,No,Male,1.422,23.517
p339,s1461,No,Male,-0.108,14.157
p340,s1461,No,Male,-0.358,17.999
p341,s1461,No,Female,1.202,18.858
p342,s1461,No,Male,-0.778,22.183
p343,s1461,No,Female,1.102,24.993
p344,s1461,No,Female,1.012,20.928
p345,s1461,No,Male,1.262,22.461
p346,s1461,No,Male,1.392,18.322
p347,s1461,No,Female,-0.258,2.895
p348,s1461,No,Male,0.932,21.007
p349,s1461,No,Male,1.062,18.471
p350,s1461,No,Male,1.212,24.48
p351,s1461,No,Female,0.982,18.471
p352,s1461,No,Female,0.462,18.831
p353,s1461,No,Female,0.532,18.114
p354,s1461,No,Male,1.062,22.685
p355,s1461,No,Male,0.172,-0.338
p356,s1461,No,Female,0.492,21.09
p357,s1461,Yes,Male,-0.668,-2.832
p358,s1461,No,Female,1.262,17.483
p359,s1462,Yes,Male,0.162,1.967
p360,s1462,Yes,Male,-0.758,7.718
p361,s1462,Yes,Male,-0.708,19.043
p362,s1462,Yes,Male,-0.818,20.133
p363,s1462,Yes,Male,-1.918,22.289
p364,s1462,Yes,Male,-0.948,14.277
p365,s1462,Yes,Male,-0.798,10.189
p366,s1462,Yes,Male,-1.458,9.607
p367,s1462,Yes,Male,-0.158,6.125
p368,s1462,Yes,Male,-0.378,23.818
p369,s1462,Yes,Male,-1.068,6.34
p370,s1462,Yes,Male,-0.808,9.437
p371,s1462,Yes,Male,-1.648,8.168
p372,s1462,Yes,Male,-0.288,4.31
p373,s1462,Yes,Male,-0.328,6.986
p374,s1462,Yes,Male,-0.498,21.452
p375,s1462,Yes,Male,-0.158,9.167
p376,s1462,Yes,Male,-0.728,9.625
p377,s1462,Yes,Male,-0.948,0.722
p378,s1462,Yes,Male,-0.728,3.115
p379,s1462,Yes,Male,-1.508,23.066
p380,s1462,Yes,Male,-0.088,4.518
p381,s1462,Yes,Male,-0.638,5.337
p382,s1462,Yes,Male,-0.358,4.103
p383,s1462,Yes,Male,-0.658,15.794
p384,s1462,Yes,Male,-0.958,1.975
p385,s1462,Yes,Male,-1.208,2.693
p386,s1462,Yes,Male,-0.378,13.809
p387,s1462,Yes,Male,-0.918,7.964
p388,s1462,Yes,Male,0.222,2.142
p389,s1462,Yes,Male,0.312,6.035
p390,s1462,Yes,Male,-0.488,17.996
p391,s1462,No,Male,0.302,20.792
p392,s1462,Yes,Male,-0.868,9.909
p393,s1462,Yes,Male,-0.708,5.189
p394,s1462,Yes,Male,-1.178,7.772
p395,s1462,Yes,Male,-0.498,12.074
p396,s1462,Yes,Male,0.032,15.103
p397,s1462,Yes,Male,-1.318,11.252
p398,s1462,Yes,Male,-1.948,1.283
p399,s1462,Yes,Male,-0.738,16.975
p400,s1462,Yes,Male,-0.558,8.762
p401,s1462,Yes,Male,-0.518,6.789
p402,s1462,Yes,Male,-1.098,12.283
p403,s1462,Yes,Male,-0.778,11.479
p404,s1462,Yes,Male,-1.068,9.071
p405,s1462,Yes,Male,-0.388,9.474
p406,s1462,Yes,Male,0.222,12.089
p407,s1462,Yes,Male,0.112,16.534
p408,s1462,Yes,Male,-0.528,6.331
p409,s1462,Yes,Male,-0.398,10.386
p410,s1462,Yes,Male,-0.358,8.163
p411,s1462,Yes,Male,-0.598,18.801
p412,s1462,Yes,Male,-1.708,22.581
p413,s1462,Yes,Male,-0.268,16.095
p414,s1462,Yes,Male,-2.058,5.321
p415,s1462,Yes,Male,0.402,3.819
p416,s1477,No,Female,-0.178,14.15
p417,s1477,No,Male,-0.108,3.976
p418,s1477,No,Male,0.262,3.846
p419,s1477,Yes,Male,-0.358,5.238
p420,s1477,No,Female,0.982,9.349
p421,s1477,No,Female,0.462,23.765
p422,s1477,No,Male,-0.208,22.84
p423,s1477,No,Male,0.812,1.606
p424,s1477,No,Female,-0.388,19.269
p425,s1477,No,Male,0.282,17.191
p426,s1477,No,Male,0.012,16.288
p427,s1477,No,Male,0.392,7.106
p428,s1477,No,Male,-1.068,20.714
p429,s1477,No,Male,0.662,18.171
p430,s1477,No,Female,0.002,21.951
p431,s1477,No,Male,-0.388,-2.832
p432,s1477,No,Male,1.222,20.246
p433,s1477,Yes,Female,-0.368,21.75
p434,s1477,No,Female,-0.588,16.337
p435,s1477,No,Female,0.642,16.061
p436,s1477,No,Female,0.892,11.724
p437,s1477,No,Female,1.152,19.401
p438,s1477,No,Female,-0.518,2.186
p439,s1477,No,Female,0.002,23.204
p440,s1477,No,Male,0.202,12.755
p441,s1477,No,Male,1.512,14.076
p442,s1477,No,Male,-0.238,22.493
p443,s1477,No,Male,0.022,22.714
p444,s1477,No,Male,0.562,11.031
p445,s1477,No,Female,-0.658,18.777
p446,s1477,No,Male,0.352,24.107
p447,s1477,No,Female,0.702,23.004
p448,s1477,Yes,Male,-0.588,8.136
p449,s1477,No,Female,0.152,10.714
p450,s1477,No,Female,-0.218,12.59
p451,s1477,No,Male,0.932,14.732
p452,s1477,No,Female,1.312,22.396
p453,s1477,No,Male,0.352,16.304
p454,s1477,No,Male,-0.748,16.19
p455,s1477,No,Female,0.652,7.275
p456,s1477,No,Female,0.652,14.809
p457,s1477,No,Male,0.042,-0.203
p458,s1477,No,Male,-0.808,17.967
p459,s1477,No,Male,1.342,24.247
p460,s1477,No,Female,1.512,6.946
p461,s1477,No,Male,0.492,17.791
p462,s1477,No,Female,0.152,8.856
p463,s1477,No,Male,-0.818,10.349
p464,s1477,No,Female,-0.918,9.44
p465,s1477,No,Female,1.072,4.999
p466,s1477,No,Female,0.252,7.873
p467,s1477,No,Male,-0.548,17.007
p468,s1477,No,Male,0.072,16.262
p469,s1477,No,Female,-1.408,0.466
p470,s1477,No,Male,0.052,18.887
p471,s1477,No,Male,-0.118,24.812
p472,s1477,No,Male,1.212,15.245
p473,s1477,No,Female,-0.268,14.958
p474,s1477,No,Male,-0.248,12.508
p475,s1477,No,Male,0.632,21.853
p476,s1477,No,Female,-0.158,20.844
p477,s1477,No,Female,-0.208,5.418
p478,s1499,No,Female,-0.678,5.608
p479,s1499,No,Female,-0.158,18.352
p480,s1499,No,Female,-0.468,5.949
p481,s1499,Yes,Female,-0.148,-1.462
p482,s1499,Yes,Female,-0.928,4.087
p483,s1499,No,Female,-0.218,10.258
p484,s1499,No,Male,0.662,21.791
p485,s1499,No,Male,-0.228,1.365
p486,s1499,No,Female,-0.368,1.73
p487,s1499,Yes,Female,0.342,5.093
p488,s1499,No,Male,0.692,17.572
p489,s1499,Yes,Male,-0.898,11.211
p490,s1499,Yes,Female,-0.578,6.018
p491,s1499,No,Female,-1.178,6.394
p492,s1499,Yes,Male,-1.608,14.681
p493,s1499,Yes,Male,-1.048,11.868
p494,s1499,Yes,Female,0.382,2.404
p495,s1499,No,Female,-0.958,2.042
p496,s1499,Yes,Female,0.432,11.685
p497,s1499,Yes,Male,-1.808,-0.818
p498,s1499,Yes,Female,-1.068,6.718
p499,s1499,No,Female,-0.008,13.72
p500,s1499,No,Male,0.222,21.907
p501,s1499,No,Female,-0.498,-2.195
p502,s1499,No,Female,-0.258,8.519
p503,s1499,Yes,Female,-1.788,1.679
p504,s1499,No,Female,-0.648,-1.744
p505,s1499,No,Female,-0.178,6.795
p506,s1499,Yes,Female,-1.078,4.179
p507,s1499,No,Male,-0.398,7.709
p508,s1499,No,Female,0.832,5.35
p509,s1499,Yes,Female,-0.678,0.259
p510,s1499,Yes,Male,-0.348,7.983
p511,s1499,No,Male,0.192,9.901
p512,s1499,Yes,Female,-1.468,2.497
p513,s1499,No,Female,0.362,23.542
p514,s1499,Yes,Female,-0.328,13.571
p515,s1499,No,Female,-0.148,21.421
p516,s1499,No,Female,-0.938,3.676
p517,s1499,Yes,Male,-0.018,4.856
p518,s1499,No,Female,0.842,14.056
p519,s1499,Yes,Male,-1.598,1.67
p520,s1499,No,Male,-0.218,8.401
p521,s1499,Yes,Male,-1.068,10.964
p522,s1499,No,Male,-0.628,11.955
p523,s1499,Yes,Female,-1.068,1.647
p524,s1499,No,Female,-1.118,4.267
p525,s1499,No,Male,-0.228,5.376
p526,s1499,No,Male,0.282,6.672
p527,s1499,Yes,Female,-1.818,8.532
p528,s1499,No,Female,0.542,5.681
p529,s1499,Yes,Male,-1.718,2.727
p530,s1499,No,Male,0.102,7.88
p531,s1637,No,Male,-0.158,4.213
p532,s1637,Yes,Male,-0.658,10.524
p533,s1637,No,Male,0.622,5.571
p534,s1637,Yes,Female,-1.748,4.062
p535,s1637,No,Male,0.232,9.826
p536,s1637,Yes,Female,-0.368,-0.538
p537,s1637,Yes,Female,-0.388,7.032
p538,s1637,Yes,Male,-1.238,-1.437
p539,s1637,No,Male,-0.968,3.77
p540,s1637,Yes,Female,-0.498,6.689
p541,s1637,Yes,Female,-0.028,-2.832
p542,s1637,Yes,Male,-1.688,1.74
p543,s1637,Yes,Female,-0.648,4.814
p544,s1637,Yes,Female,-0.688,7.723
p545,s1637,Yes,Female,-1.408,3.595
p546,s1637,No,Male,0.742,24.993
p547,s1637,Yes,Male,-1.948,17.621
p548,s1637,No,Female,-0.688,18.052
p549,s1637,Yes,Female,-1.518,7.138
p550,s1637,Yes,Female,-0.758,2.202
p551,s1637,No,Female,-1.278,6.065
p552,s1637,Yes,Female,-1.548,11.613
p553,s1637,Yes,Female,-0.708,-1.211
p554,s1637,Yes,Female,0.242,14.536
p555,s1637,Yes,Male,-1.748,-2.374
p556,s1637,No,Female,0.362,20.394
p557,s1637,Yes,Male,-0.568,5.87
p558,s1906,Yes,Female,0.132,14.449
p559,s1906,No,Female,0.382,20.455
p560,s1906,No,Female,1.082,22.826
p561,s1906,No,Female,-0.538,16.801
p562,s1906,Yes,Female,0.992,9.995
p563,s1906,No,Female,-0.588,23.482
p564,s1906,No,Male,0.822,17.985
p565,s1906,No,Male,0.702,14.63
p566,s1906,No,Male,1.012,16.667
p567,s1906,No,Male,0.602,14.171
p568,s1906,No,Female,-0.298,20.115
p569,s1906,No,Female,-0.518,4.805
p570,s1906,No,Male,0.592,22.107
p571,s1906,No,Female,0.382,21.122
p572,s1906,No,Female,0.152,10.484
p573,s1906,No,Female,-0.088,21.028
p574,s1906,No,Male,0.202,24.457
p575,s1906,No,Male,-0.278,0.901
p576,s1906,Yes,Male,-0.508,13.83
p577,s1906,No,Male,1.512,23.345
p578,s1906,No,Male,1.122,22.222
p579,s1906,No,Male,1.512,7.865
p580,s1906,No,Female,-0.068,14.798
p581,s1906,No,Female,0.462,11.586
p582,s1906,No,Female,0.362,7.297
p583,s1906,No,Male,1.082,21.556
p584,s1906,No,Female,1.512,18.386
p585,s1906,No,Male,0.802,23.062
p586,s1906,No,Male,0.272,12.15
p587,s1906,No,Male,1.152,24.247
p588,s1906,No,Female,1.122,18.531
p589,s1906,No,Male,-0.138,4.94
p590,s1906,No,Female,0.292,7.663
p591,s1906,No,Male,0.272,16.426
p592,s1906,No,Female,-0.138,24.479
p593,s1906,No,Male,1.292,22.59
p594,s1906,No,Male,1.422,18.189
p595,s1906,No,Male,0.952,15.602
p596,s1906,Yes,Male,0.002,11.04
p597,s1906,No,Female,0.532,12.916
p598,s1906,No,Female,1.512,6.992
p599,s1906,No,Female,1.012,24.479
p600,s1906,No,Male,-0.378,8.609
p601,s1906,No,Female,0.632,12.152
p602,s1906,No,Female,0.892,21.572
p603,s1906,No,Female,1.292,17.926
p604,s1906,Yes,Male,0.282,-1.603
p605,s1906,No,Male,0.102,23.231
p606,s1906,No,Female,1.012,10.257
p607,s1906,No,Female,-0.048,20.194
p608,s1906,No,Female,1.012,16.312
p609,s1906,No,Male,0.412,17.127
p610,s1906,No,Male,-0.188,20.66
p611,s1909,No,Male,0.482,12.165
p612,s1909,No,Female,0.272,18.478
p613,s1909,No,Female,-1.288,7.892
p614,s1909,No,Male,0.762,8.645
p615,s1909,No,Female,0.642,17.342
p616,s1909,No,Male,1.172,8.357
p617,s1909,No,Female,0.182,13.907
p618,s1909,No,Male,0.972,23.096
p619,s1909,No,Male,-0.028,7.539
p620,s1909,No,Male,1.022,23.286
p621,s1909,No,Female,0.892,14.593
p622,s1909,No,Male,-0.018,22.053
p623,s1909,No,Male,-0.478,12.5
p624,s1909,No,Male,1.512,23.93
p625,s1909,No,Female,-0.138,4.605
p626,s1909,No,Female,-0.718,15.322
p627,s1909,No,Male,-0.738,5.69
p628,s1909,No,Female,-0.148,18.638
p629,s1909,No,Female,0.892,17.06
p630,s1909,No,Male,0.532,19.385
p631,s1909,No,Male,-0.178,17.416
p632,s1909,No,Male,-0.118,20.664
p633,s1909,No,Female,0.312,22.585
p634,s1909,No,Male,-0.258,16
p635,s1909,No,Male,0.682,7.327
p636,s1909,No,Male,0.332,12.279
p637,s1909,No,Male,1.362,8.132
p638,s1909,No,Female,-0.968,4.967
p639,s1942,No,Female,0.802,16.387
p640,s1942,No,Female,1.072,24.993
p641,s1942,No,Female,0.702,21.084
p642,s1942,Yes,Male,0.922,22.337
p643,s1942,No,Male,1.372,12.398
p644,s1942,No,Male,0.412,24.041
p645,s1942,No,Male,1.162,23.856
p646,s1942,No,Male,-0.568,20.514
p647,s1942,No,Female,1.282,23.023
p648,s1942,No,Female,0.052,11.015
p649,s1942,No,Male,0.552,15.63
p650,s1942,No,Female,1.052,23.613
p651,s1942,No,Female,1.192,16.903
p652,s1942,No,Male,0.312,13.926
p653,s1942,No,Male,1.152,17.344
p654,s1942,No,Female,0.212,20.979
p655,s1942,No,Male,0.902,11.204
p656,s1942,No,Male,1.032,22.116
p657,s1942,No,Female,0.002,9.468
p658,s1942,No,Female,0.132,18.211
p659,s1942,No,Male,-0.298,22.681
