year,gender,nativeBorn,ageGroup,educGroup,vocab,age,educ
1978,male,yes,30-39,12 yrs,5,35,12
1978,male,yes,18-29,13-15 yrs,7,27,14
1978,female,yes,30-39,12 yrs,8,30,12
1978,female,yes,50-59,12 yrs,3,57,12
1978,male,yes,50-59,<12 yrs,7,59,8
1978,male,yes,60+,<12 yrs,8,71,8
1978,male,no,60+,12 yrs,8,81,12
1978,female,yes,60+,<12 yrs,5,72,10
1978,female,yes,60+,<12 yrs,9,66,8
1978,male,yes,40-49,12 yrs,7,48,12
1978,female,no,30-39,12 yrs,7,38,12
1978,male,yes,50-59,>16 yrs,10,56,20
1978,male,no,30-39,13-15 yrs,6,30,14
1978,female,yes,18-29,<12 yrs,7,22,11
1978,male,no,18-29,12 yrs,5,22,12
1978,male,no,18-29,<12 yrs,3,22,11
1978,female,yes,18-29,13-15 yrs,5,21,14
1978,male,yes,50-59,13-15 yrs,6,56,14
1978,male,yes,30-39,>16 yrs,9,31,19
1978,female,yes,40-49,12 yrs,7,44,12
1978,female,no,50-59,12 yrs,7,57,12
1978,female,yes,60+,<12 yrs,0,63,4
1978,female,no,18-29,12 yrs,3,23,12
1978,female,no,18-29,<12 yrs,2,18,11
1978,female,yes,18-29,12 yrs,6,21,12
1978,male,yes,18-29,12 yrs,7,26,12
1978,female,yes,18-29,<12 yrs,4,23,11
1978,female,yes,18-29,13-15 yrs,6,20,13
1978,male,yes,40-49,<12 yrs,5,44,7
1978,female,yes,50-59,12 yrs,9,53,12
1978,female,yes,50-59,12 yrs,7,55,12
1978,male,yes,18-29,16 yrs,6,25,16
1978,male,yes,60+,<12 yrs,4,73,7
1978,female,yes,40-49,12 yrs,6,45,12
1978,male,yes,18-29,12 yrs,7,28,12
1978,male,yes,40-49,16 yrs,7,45,16
1978,male,yes,40-49,>16 yrs,9,44,20
1978,female,yes,40-49,13-15 yrs,6,42,15
1978,female,yes,60+,12 yrs,6,70,12
1978,female,yes,18-29,>16 yrs,7,29,17
1978,male,yes,50-59,16 yrs,6,52,16
1978,female,yes,30-39,13-15 yrs,10,32,13
1978,male,yes,50-59,12 yrs,6,56,12
1978,female,yes,40-49,<12 yrs,6,49,11
1978,male,yes,60+,<12 yrs,8,82,10
1978,male,yes,30-39,13-15 yrs,7,32,14
1978,female,yes,18-29,16 yrs,9,24,16
1978,male,yes,40-49,12 yrs,7,41,12
1978,male,yes,60+,>16 yrs,7,79,20
1978,male,yes,40-49,16 yrs,8,46,16
1978,male,yes,30-39,13-15 yrs,5,30,14
1978,male,yes,30-39,13-15 yrs,4,33,13
1978,male,yes,40-49,12 yrs,9,46,12
1978,male,yes,30-39,12 yrs,6,32,12
1978,female,yes,18-29,12 yrs,4,24,12
1978,female,yes,18-29,12 yrs,1,26,12
1978,female,yes,60+,<12 yrs,5,71,8
1978,female,yes,50-59,12 yrs,9,52,12
1978,male,yes,30-39,12 yrs,7,36,12
1978,female,yes,18-29,>16 yrs,10,28,18
1978,female,yes,40-49,12 yrs,7,42,12
1978,male,yes,40-49,>16 yrs,10,40,19
1978,female,yes,40-49,12 yrs,7,49,12
1978,male,yes,50-59,12 yrs,7,53,12
1978,female,no,40-49,<12 yrs,1,42,8
1978,female,no,40-49,<12 yrs,2,41,6
1978,male,yes,60+,<12 yrs,1,71,7
1978,female,no,50-59,<12 yrs,3,52,10
1978,male,yes,40-49,<12 yrs,1,44,10
1978,male,yes,50-59,12 yrs,7,57,12
1978,female,yes,50-59,<12 yrs,6,57,4
1978,male,yes,30-39,<12 yrs,4,32,11
1978,male,yes,60+,<12 yrs,7,77,9
1978,female,yes,18-29,<12 yrs,3,19,9
1978,male,yes,30-39,12 yrs,6,32,12
1978,female,yes,30-39,12 yrs,8,31,12
1978,male,yes,18-29,<12 yrs,3,28,10
1978,female,yes,18-29,<12 yrs,6,18,11
1978,female,yes,60+,<12 yrs,10,78,11
1978,male,yes,18-29,12 yrs,5,28,12
1978,male,yes,18-29,13-15 yrs,7,26,15
1978,female,yes,50-59,12 yrs,6,59,12
1978,male,yes,40-49,12 yrs,6,42,12
1978,female,yes,60+,12 yrs,9,66,12
1978,female,yes,60+,<12 yrs,8,62,10
1978,male,no,50-59,<12 yrs,9,51,11
1978,female,yes,30-39,12 yrs,6,37,12
1978,female,yes,18-29,<12 yrs,4,26,11
1978,female,yes,30-39,12 yrs,7,30,12
1978,female,yes,30-39,12 yrs,7,31,12
1978,male,yes,18-29,12 yrs,6,20,12
1978,female,yes,40-49,<12 yrs,3,48,9
1978,female,yes,50-59,12 yrs,6,52,12
1978,male,yes,18-29,13-15 yrs,8,24,15
1978,female,yes,18-29,12 yrs,6,25,12
1978,male,yes,40-49,12 yrs,5,40,12
1978,female,yes,40-49,<12 yrs,4,42,9
1978,male,yes,30-39,12 yrs,6,32,12
1978,female,yes,30-39,12 yrs,2,34,12
1978,female,yes,60+,<12 yrs,4,63,6
1978,male,yes,50-59,<12 yrs,5,50,7
1978,female,yes,30-39,16 yrs,10,33,16
1978,male,yes,60+,<12 yrs,3,78,4
1978,female,yes,30-39,<12 yrs,8,30,8
1978,male,yes,60+,<12 yrs,3,72,11
1978,female,yes,30-39,13-15 yrs,10,38,13
1978,female,yes,30-39,12 yrs,9,37,12
1978,male,yes,60+,12 yrs,6,60,12
1978,female,yes,18-29,>16 yrs,8,28,17
1978,female,no,50-59,13-15 yrs,8,51,13
1978,male,yes,50-59,12 yrs,8,55,12
1978,female,yes,50-59,12 yrs,7,52,12
1978,male,yes,30-39,>16 yrs,8,35,19
1978,female,yes,18-29,12 yrs,2,26,12
1978,male,yes,18-29,<12 yrs,3,19,11
1978,male,yes,18-29,>16 yrs,6,29,18
1978,female,yes,30-39,12 yrs,5,33,12
1978,female,yes,30-39,12 yrs,6,36,12
1978,male,yes,40-49,13-15 yrs,9,49,15
1978,female,yes,40-49,12 yrs,10,46,12
1978,female,yes,18-29,12 yrs,9,19,12
1978,female,yes,60+,12 yrs,6,68,12
1978,male,no,50-59,<12 yrs,3,51,8
1978,female,no,60+,<12 yrs,6,68,9
1978,male,yes,60+,<12 yrs,6,81,8
1978,male,yes,40-49,>16 yrs,10,41,18
1978,female,yes,50-59,>16 yrs,7,57,20
1978,female,yes,60+,12 yrs,8,76,12
1978,male,yes,40-49,12 yrs,6,41,12
1978,male,yes,50-59,16 yrs,10,59,16
1978,female,yes,50-59,13-15 yrs,9,54,15
1978,female,yes,60+,12 yrs,7,60,12
1978,male,yes,18-29,12 yrs,4,25,12
1978,female,yes,18-29,12 yrs,5,20,12
1978,female,yes,18-29,<12 yrs,NA,23,10
1978,female,yes,30-39,13-15 yrs,9,37,15
1978,male,yes,60+,12 yrs,10,72,12
1978,female,yes,40-49,16 yrs,9,48,16
1978,male,yes,18-29,12 yrs,5,21,12
1978,female,yes,18-29,13-15 yrs,5,21,13
1978,female,yes,50-59,<12 yrs,4,58,8
1978,female,yes,60+,<12 yrs,5,87,8
1978,male,yes,30-39,12 yrs,6,32,12
1978,female,yes,60+,<12 yrs,6,76,8
1978,female,yes,18-29,<12 yrs,2,21,10
1978,male,yes,40-49,<12 yrs,5,43,9
1978,female,yes,18-29,<12 yrs,5,19,11
1978,female,yes,30-39,<12 yrs,6,35,11
1978,male,yes,18-29,<12 yrs,NA,21,9
1978,male,yes,60+,16 yrs,8,66,16
1978,female,yes,50-59,12 yrs,8,54,12
1978,female,yes,30-39,>16 yrs,10,38,17
1978,female,yes,18-29,13-15 yrs,6,20,13
1978,female,yes,40-49,12 yrs,6,44,12
1978,male,yes,18-29,<12 yrs,5,20,11
1978,male,yes,60+,<12 yrs,2,60,8
1978,male,yes,18-29,12 yrs,6,23,12
1978,female,yes,60+,<12 yrs,3,75,8
1978,male,no,30-39,13-15 yrs,3,30,14
1978,female,yes,30-39,<12 yrs,6,35,6
1978,female,yes,60+,<12 yrs,6,75,11
1978,female,yes,50-59,12 yrs,4,54,12
1978,male,yes,30-39,<12 yrs,6,31,10
1978,female,yes,50-59,<12 yrs,6,54,6
1978,female,yes,30-39,12 yrs,7,30,12
1978,male,yes,40-49,>16 yrs,8,43,17
1978,female,yes,18-29,13-15 yrs,6,26,15
1978,female,yes,40-49,12 yrs,7,44,12
1978,female,yes,18-29,12 yrs,6,23,12
1978,male,yes,30-39,>16 yrs,9,35,17
1978,male,yes,30-39,12 yrs,7,37,12
1978,male,yes,30-39,>16 yrs,9,30,17
1978,male,yes,30-39,13-15 yrs,8,30,13
1978,female,yes,50-59,<12 yrs,6,57,10
1978,female,no,50-59,16 yrs,9,54,16
1978,female,yes,50-59,<12 yrs,1,59,8
1978,female,yes,50-59,13-15 yrs,5,56,13
1978,male,yes,18-29,16 yrs,7,28,16
1978,female,yes,40-49,<12 yrs,6,43,10
1978,male,yes,40-49,12 yrs,3,42,12
1978,male,yes,18-29,12 yrs,5,22,12
1978,male,yes,40-49,<12 yrs,7,40,9
1978,male,yes,60+,13-15 yrs,3,66,14
1978,female,yes,18-29,12 yrs,7,29,12
1978,female,yes,40-49,13-15 yrs,4,44,13
1978,female,yes,18-29,16 yrs,5,24,16
1978,female,yes,40-49,<12 yrs,3,45,9
1978,female,yes,40-49,13-15 yrs,5,46,14
1978,male,yes,18-29,<12 yrs,1,24,9
1978,female,yes,18-29,<12 yrs,4,29,9
1978,female,yes,30-39,12 yrs,4,37,12
1978,female,yes,18-29,12 yrs,7,22,12
1978,male,yes,40-49,<12 yrs,2,47,3
1978,male,yes,18-29,16 yrs,8,26,16
1978,male,yes,50-59,12 yrs,5,51,12
1978,female,yes,30-39,12 yrs,6,34,12
1978,female,yes,18-29,12 yrs,6,23,12
1978,female,yes,50-59,12 yrs,8,54,12
1978,female,yes,18-29,12 yrs,6,25,12
1978,female,yes,18-29,16 yrs,6,27,16
1978,female,yes,40-49,>16 yrs,10,43,18
1978,female,yes,18-29,13-15 yrs,7,23,14
1978,male,yes,60+,>16 yrs,10,66,18
1978,male,yes,30-39,>16 yrs,7,31,17
1978,male,no,50-59,12 yrs,8,50,12
1978,female,yes,50-59,12 yrs,8,58,12
1978,male,yes,30-39,12 yrs,7,35,12
1978,female,yes,40-49,13-15 yrs,7,42,13
1978,male,yes,50-59,13-15 yrs,6,55,14
1978,female,yes,50-59,<12 yrs,3,55,9
1978,male,yes,30-39,>16 yrs,10,32,17
1978,female,no,40-49,>16 yrs,10,43,17
1978,male,yes,18-29,12 yrs,7,25,12
1978,female,yes,60+,<12 yrs,NA,89,4
1978,male,yes,60+,12 yrs,6,65,12
1978,female,yes,18-29,12 yrs,6,25,12
1978,male,yes,18-29,12 yrs,4,24,12
1978,female,yes,60+,<12 yrs,4,72,8
1978,male,yes,50-59,12 yrs,6,56,12
1978,female,yes,30-39,13-15 yrs,5,37,13
1978,female,yes,18-29,13-15 yrs,8,24,14
1978,male,yes,60+,>16 yrs,8,61,17
1978,male,yes,60+,16 yrs,7,67,16
1978,female,yes,50-59,<12 yrs,3,50,8
1978,male,yes,40-49,12 yrs,5,47,12
1978,female,yes,60+,12 yrs,10,71,12
1978,female,yes,60+,12 yrs,1,79,12
1978,female,yes,40-49,12 yrs,6,46,12
1978,female,yes,60+,13-15 yrs,8,83,14
1978,female,yes,18-29,13-15 yrs,6,26,14
1978,male,yes,30-39,13-15 yrs,6,30,15
1978,female,yes,60+,12 yrs,7,71,12
1978,male,yes,18-29,12 yrs,5,19,12
1978,female,yes,18-29,16 yrs,8,28,16
1978,male,yes,18-29,13-15 yrs,10,21,15
1978,male,yes,50-59,13-15 yrs,10,56,14
1978,female,yes,18-29,13-15 yrs,4,22,14
1978,male,yes,18-29,16 yrs,6,27,16
1978,female,yes,60+,12 yrs,7,71,12
1978,female,yes,30-39,12 yrs,8,32,12
1978,female,yes,60+,12 yrs,10,69,12
1978,male,yes,50-59,>16 yrs,10,51,18
1978,female,yes,30-39,12 yrs,5,38,12
1978,female,yes,18-29,12 yrs,2,20,12
1978,male,no,60+,<12 yrs,8,69,4
1978,male,yes,18-29,12 yrs,4,21,12
1978,male,yes,40-49,13-15 yrs,8,40,14
1978,female,yes,18-29,16 yrs,7,24,16
1978,male,yes,30-39,13-15 yrs,4,36,13
1978,female,yes,60+,12 yrs,9,61,12
1978,male,yes,18-29,12 yrs,6,20,12
1978,female,yes,30-39,12 yrs,4,30,12
1978,female,yes,50-59,<12 yrs,3,58,5
1978,female,no,30-39,12 yrs,9,31,12
1978,male,yes,40-49,12 yrs,4,48,12
1978,male,yes,40-49,13-15 yrs,9,43,14
1978,female,no,30-39,12 yrs,1,37,12
1978,female,no,60+,<12 yrs,3,71,7
1978,male,no,60+,<12 yrs,5,67,8
1978,female,yes,60+,12 yrs,7,63,12
1978,female,yes,60+,12 yrs,8,62,12
1978,male,yes,60+,<12 yrs,4,72,8
1978,male,yes,40-49,<12 yrs,5,40,10
1978,male,yes,18-29,13-15 yrs,7,23,13
1978,female,yes,50-59,<12 yrs,9,51,10
1978,male,yes,30-39,12 yrs,3,34,12
1978,male,yes,50-59,12 yrs,3,53,12
1978,male,yes,60+,12 yrs,3,69,12
1978,female,yes,40-49,<12 yrs,2,42,8
1978,female,yes,30-39,<12 yrs,3,33,5
1978,female,yes,50-59,<12 yrs,2,58,8
1978,male,yes,18-29,<12 yrs,3,28,10
1978,female,yes,30-39,16 yrs,10,31,16
1978,female,yes,18-29,12 yrs,6,24,12
1978,male,yes,60+,16 yrs,5,62,16
1978,male,yes,50-59,<12 yrs,7,54,11
1978,male,yes,40-49,13-15 yrs,6,40,14
1978,male,yes,30-39,<12 yrs,3,30,10
1978,male,yes,18-29,13-15 yrs,6,21,15
1978,male,yes,60+,12 yrs,5,67,12
1978,female,yes,30-39,13-15 yrs,6,30,13
1978,female,yes,18-29,12 yrs,6,27,12
1978,male,yes,30-39,<12 yrs,4,31,8
1978,female,yes,18-29,12 yrs,6,26,12
1978,female,yes,40-49,<12 yrs,NA,47,7
1978,female,yes,18-29,13-15 yrs,5,27,15
1978,male,yes,18-29,<12 yrs,5,27,11
1978,female,yes,18-29,12 yrs,5,20,12
1978,male,yes,18-29,12 yrs,3,28,12
1978,female,yes,60+,13-15 yrs,4,79,15
1978,male,yes,18-29,13-15 yrs,5,26,14
1978,male,yes,30-39,<12 yrs,5,37,8
1978,male,yes,18-29,12 yrs,5,21,12
1978,male,yes,40-49,<12 yrs,4,43,8
1978,male,yes,30-39,>16 yrs,6,31,18
1978,female,yes,30-39,12 yrs,7,34,12
1978,female,yes,18-29,12 yrs,5,27,12
1978,female,no,40-49,<12 yrs,6,41,11
1978,female,yes,50-59,12 yrs,1,59,12
1978,male,yes,30-39,12 yrs,2,39,12
1978,male,yes,30-39,12 yrs,5,34,12
1978,female,yes,50-59,<12 yrs,NA,54,1
1978,female,yes,40-49,12 yrs,3,48,12
1978,female,yes,18-29,12 yrs,6,24,12
1978,female,yes,60+,16 yrs,7,79,16
1978,female,yes,40-49,12 yrs,6,48,12
1978,female,yes,18-29,13-15 yrs,6,26,14
1978,male,yes,30-39,13-15 yrs,6,35,13
1978,female,yes,30-39,13-15 yrs,5,37,14
1978,male,yes,18-29,12 yrs,7,25,12
1978,male,yes,18-29,13-15 yrs,6,25,15
1978,male,yes,60+,<12 yrs,3,77,4
1978,female,yes,18-29,12 yrs,6,19,12
1978,female,yes,18-29,12 yrs,5,19,12
1978,female,yes,60+,12 yrs,7,67,12
1978,female,yes,60+,12 yrs,6,61,12
1978,female,yes,40-49,12 yrs,7,40,12
1978,female,yes,60+,<12 yrs,7,61,9
1978,male,yes,30-39,13-15 yrs,4,30,13
1978,female,yes,60+,12 yrs,5,71,12
1978,female,yes,30-39,12 yrs,5,31,12
1978,male,yes,30-39,16 yrs,10,34,16
1978,female,yes,50-59,<12 yrs,3,54,4
1978,male,yes,30-39,13-15 yrs,7,34,15
1978,female,yes,40-49,12 yrs,6,48,12
1978,male,yes,40-49,<12 yrs,1,47,10
1978,male,yes,50-59,<12 yrs,4,52,9
1978,female,yes,50-59,13-15 yrs,4,52,13
1978,male,yes,40-49,<12 yrs,8,49,11
1978,female,yes,40-49,12 yrs,7,41,12
1978,female,yes,60+,<12 yrs,5,65,7
1978,female,yes,30-39,13-15 yrs,7,36,14
1978,male,yes,60+,<12 yrs,1,79,0
1978,female,yes,30-39,13-15 yrs,6,39,14
1978,female,yes,60+,<12 yrs,5,72,8
1978,male,yes,30-39,>16 yrs,7,36,18
1978,female,yes,18-29,13-15 yrs,5,24,13
1978,female,yes,30-39,<12 yrs,5,38,8
1978,male,yes,30-39,12 yrs,8,36,12
1978,male,yes,60+,<12 yrs,3,66,6
1978,female,yes,30-39,<12 yrs,6,32,8
1978,male,yes,40-49,<12 yrs,3,40,10
1978,female,yes,30-39,13-15 yrs,5,38,13
1978,male,yes,40-49,<12 yrs,3,41,8
1978,female,yes,50-59,<12 yrs,NA,58,7
1978,male,yes,40-49,<12 yrs,NA,49,7
1978,female,yes,18-29,16 yrs,6,24,16
1978,female,yes,40-49,12 yrs,5,42,12
1978,male,yes,18-29,12 yrs,3,19,12
1978,female,yes,30-39,<12 yrs,3,38,8
1978,female,yes,60+,<12 yrs,3,65,8
1978,female,yes,18-29,12 yrs,6,26,12
1978,female,yes,30-39,<12 yrs,4,35,10
1978,female,yes,60+,13-15 yrs,5,74,13
1978,male,yes,30-39,13-15 yrs,10,32,15
1978,male,yes,18-29,13-15 yrs,5,25,15
1978,female,yes,50-59,13-15 yrs,9,56,13
1978,female,yes,18-29,12 yrs,4,28,12
1978,male,yes,30-39,16 yrs,7,30,16
1978,female,yes,18-29,<12 yrs,6,23,11
1978,female,yes,30-39,13-15 yrs,4,32,14
1978,female,yes,60+,>16 yrs,6,64,17
1978,female,yes,40-49,<12 yrs,3,40,4
1978,female,yes,60+,<12 yrs,NA,80,4
1978,male,yes,18-29,>16 yrs,10,26,17
1978,male,yes,40-49,<12 yrs,5,42,10
1978,female,yes,40-49,13-15 yrs,8,48,13
1978,male,yes,18-29,13-15 yrs,7,25,13
1978,male,yes,60+,12 yrs,6,71,12
1978,female,yes,18-29,<12 yrs,7,25,11
1978,female,yes,60+,12 yrs,7,64,12
1978,male,yes,18-29,16 yrs,6,26,16
1978,female,yes,18-29,>16 yrs,10,28,19
1978,female,yes,40-49,13-15 yrs,8,43,14
1978,female,yes,18-29,12 yrs,8,23,12
1978,female,yes,60+,<12 yrs,6,62,10
1978,male,yes,18-29,12 yrs,6,24,12
1978,male,yes,18-29,12 yrs,8,25,12
1978,female,yes,18-29,12 yrs,9,26,12
1978,female,yes,18-29,12 yrs,7,24,12
1978,male,yes,18-29,12 yrs,6,23,12
1978,male,yes,60+,12 yrs,1,70,12
1978,male,yes,40-49,12 yrs,7,42,12
1978,female,yes,18-29,13-15 yrs,7,26,14
1978,female,yes,18-29,13-15 yrs,NA,23,15
1978,female,yes,30-39,13-15 yrs,7,37,15
1978,female,yes,18-29,12 yrs,5,22,12
1978,female,yes,18-29,13-15 yrs,5,26,13
1978,male,yes,18-29,12 yrs,6,24,12
1978,female,no,18-29,<12 yrs,2,28,6
1978,female,yes,18-29,12 yrs,6,22,12
1978,female,yes,18-29,12 yrs,1,21,12
1978,female,yes,30-39,>16 yrs,9,30,17
1978,male,yes,60+,13-15 yrs,10,62,13
1978,male,yes,18-29,12 yrs,7,20,12
1978,female,yes,18-29,13-15 yrs,6,20,13
1978,male,yes,60+,12 yrs,8,69,12
1978,female,yes,18-29,>16 yrs,7,29,17
1978,female,yes,18-29,<12 yrs,6,26,11
1978,male,yes,18-29,<12 yrs,4,20,11
1978,female,yes,30-39,13-15 yrs,5,35,14
1978,female,yes,50-59,13-15 yrs,5,56,15
1978,male,yes,30-39,13-15 yrs,9,34,13
1978,female,yes,18-29,13-15 yrs,6,25,14
1978,female,yes,50-59,12 yrs,9,54,12
1978,male,yes,50-59,>16 yrs,9,56,18
1978,male,no,60+,<12 yrs,NA,74,1
1978,female,yes,18-29,<12 yrs,4,24,11
1978,male,yes,40-49,13-15 yrs,10,43,15
1978,female,yes,30-39,13-15 yrs,8,31,14
1978,female,yes,30-39,16 yrs,10,30,16
1978,female,yes,30-39,16 yrs,9,30,16
1978,female,yes,60+,<12 yrs,NA,89,11
1978,male,no,18-29,13-15 yrs,1,25,14
1978,male,yes,40-49,12 yrs,8,41,12
1978,female,yes,60+,<12 yrs,6,60,8
1978,female,yes,18-29,12 yrs,3,26,12
1978,male,yes,50-59,<12 yrs,6,52,10
1978,female,yes,30-39,12 yrs,7,37,12
1978,male,yes,60+,12 yrs,7,61,12
1978,male,no,60+,<12 yrs,5,79,8
1978,female,yes,60+,16 yrs,8,60,16
1978,female,yes,50-59,16 yrs,6,54,16
1978,female,yes,50-59,13-15 yrs,10,50,13
1978,male,yes,50-59,<12 yrs,2,58,6
1978,female,yes,60+,<12 yrs,5,65,8
1978,female,yes,30-39,<12 yrs,2,34,6
1978,male,yes,30-39,12 yrs,6,33,12
1978,female,no,50-59,<12 yrs,7,56,9
1978,male,yes,40-49,12 yrs,5,42,12
1978,male,no,40-49,12 yrs,5,43,12
1978,female,yes,40-49,<12 yrs,3,49,8
1978,male,yes,50-59,12 yrs,6,55,12
1978,male,yes,30-39,<12 yrs,1,39,7
1978,female,yes,30-39,12 yrs,5,39,12
1978,female,yes,18-29,16 yrs,9,23,16
1978,male,yes,50-59,13-15 yrs,9,59,14
1978,male,yes,18-29,16 yrs,10,29,16
1978,female,yes,60+,12 yrs,5,82,12
1978,male,yes,60+,<12 yrs,3,68,9
1978,female,yes,60+,<12 yrs,7,60,8
1978,male,yes,60+,<12 yrs,NA,84,4
1978,female,yes,18-29,12 yrs,5,22,12
1978,female,yes,30-39,<12 yrs,4,32,11
1978,female,yes,60+,<12 yrs,9,71,9
1978,male,yes,30-39,>16 yrs,8,30,18
1978,male,yes,50-59,12 yrs,5,50,12
1978,female,yes,30-39,12 yrs,8,37,12
1978,female,yes,40-49,16 yrs,7,44,16
1978,female,yes,40-49,12 yrs,8,41,12
1978,female,yes,60+,<12 yrs,1,72,6
1978,female,no,30-39,<12 yrs,4,33,8
1978,female,yes,30-39,<12 yrs,4,38,7
1978,female,yes,18-29,12 yrs,6,20,12
1978,male,yes,18-29,12 yrs,6,28,12
1978,female,yes,30-39,12 yrs,7,35,12
1978,male,yes,30-39,<12 yrs,1,38,10
1978,female,no,18-29,12 yrs,2,27,12
1978,male,yes,18-29,12 yrs,9,23,12
1978,male,yes,18-29,12 yrs,7,29,12
1978,male,yes,18-29,12 yrs,5,23,12
1978,male,yes,50-59,13-15 yrs,7,51,13
1978,female,no,60+,<12 yrs,3,73,8
1978,male,yes,18-29,13-15 yrs,7,23,13
1978,male,yes,30-39,16 yrs,8,32,16
1978,female,yes,30-39,13-15 yrs,7,32,13
1978,male,yes,30-39,13-15 yrs,7,39,14
1978,female,no,18-29,16 yrs,9,29,16
1978,male,yes,30-39,>16 yrs,9,31,19
1978,female,yes,30-39,12 yrs,7,31,12
1978,male,yes,40-49,16 yrs,10,41,16
1978,female,yes,30-39,13-15 yrs,5,33,13
1978,male,yes,30-39,>16 yrs,7,35,20
1978,female,yes,30-39,13-15 yrs,8,35,15
1978,female,yes,18-29,12 yrs,7,26,12
1978,male,yes,60+,<12 yrs,NA,71,8
1978,female,yes,30-39,12 yrs,6,31,12
1978,female,yes,30-39,13-15 yrs,9,36,13
1978,male,yes,18-29,12 yrs,3,22,12
1978,female,yes,30-39,12 yrs,6,33,12
1978,male,yes,50-59,12 yrs,8,51,12
1978,male,yes,60+,<12 yrs,5,65,8
1978,female,yes,18-29,13-15 yrs,6,24,14
1978,male,yes,18-29,12 yrs,3,22,12
1978,male,yes,30-39,12 yrs,6,35,12
1978,male,yes,60+,>16 yrs,9,60,20
1978,male,yes,18-29,>16 yrs,8,25,17
1978,male,yes,50-59,12 yrs,6,58,12
1978,male,yes,50-59,13-15 yrs,8,51,14
1978,female,yes,50-59,12 yrs,7,58,12
1978,female,yes,60+,<12 yrs,4,65,8
1978,female,yes,18-29,13-15 yrs,8,25,15
1978,male,yes,60+,>16 yrs,8,82,20
1978,female,yes,18-29,13-15 yrs,7,27,14
1978,female,no,60+,<12 yrs,2,77,3
1978,male,yes,18-29,13-15 yrs,10,24,15
1978,female,yes,30-39,12 yrs,7,34,12
1978,female,yes,60+,<12 yrs,2,71,9
1978,female,yes,18-29,13-15 yrs,7,21,14
1978,male,yes,60+,<12 yrs,4,83,8
1978,male,yes,50-59,<12 yrs,6,51,8
1978,female,yes,30-39,13-15 yrs,9,39,13
1978,female,yes,50-59,12 yrs,5,52,12
1978,female,yes,40-49,12 yrs,6,46,12
1978,female,yes,40-49,<12 yrs,3,41,8
1978,female,yes,30-39,16 yrs,9,38,16
1978,male,yes,60+,<12 yrs,0,71,4
1978,female,yes,60+,<12 yrs,2,81,8
1978,female,yes,18-29,<12 yrs,5,18,11
1978,female,yes,40-49,<12 yrs,6,48,11
1978,male,yes,30-39,12 yrs,6,33,12
1978,female,yes,18-29,12 yrs,5,21,12
1978,female,yes,18-29,<12 yrs,4,25,10
1978,male,yes,30-39,13-15 yrs,5,34,15
1978,female,yes,18-29,12 yrs,6,19,12
1978,female,yes,30-39,12 yrs,6,38,12
1978,female,yes,30-39,12 yrs,6,32,12
1978,female,yes,18-29,12 yrs,6,19,12
1978,female,yes,18-29,<12 yrs,3,27,7
1978,male,yes,18-29,12 yrs,4,29,12
1978,male,yes,60+,<12 yrs,7,63,8
1978,female,yes,30-39,12 yrs,9,31,12
1978,male,yes,60+,<12 yrs,2,89,8
1978,female,yes,30-39,13-15 yrs,6,31,14
1978,female,yes,50-59,<12 yrs,3,53,8
